"REF_DATE","GEO","DGUID","Vehicle type","Fuel type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-06","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","12891","","","","0"
"2025-07","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","10753","","","","0"
"2025-08","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","9843","","","","0"
"2025-09","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","8899","","","","0"
"2025-10","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","7651","","","","0"
"2025-11","Canada","2021A000011124","Passenger cars","All fuel types","North America","Units","Unadjusted","Units","300","units","0","v1617815518","1.2.1.2.1.1","6418","","","","0"
"2020-01","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8352","","","","0"
"2020-02","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8758","","","","0"
"2020-03","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6721","","","","0"
"2020-04","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","3399","","","","0"
"2020-05","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9334","","","","0"
"2020-06","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","14225","","","","0"
"2020-07","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","13854","","","","0"
"2020-08","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","12412","","","","0"
"2020-09","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11814","","","","0"
"2020-10","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10558","","","","0"
"2020-11","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8911","","","","0"
"2020-12","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7269","","","","0"
"2021-01","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6223","","","","0"
"2021-02","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6956","","","","0"
"2021-03","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10315","","","","0"
"2021-04","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","13345","","","","0"
"2021-05","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","13312","","","","0"
"2021-06","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","13302","","","","0"
"2021-07","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","12198","","","","0"
"2021-08","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11236","","","","0"
"2021-09","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11250","","","","0"
"2021-10","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11829","","","","0"
"2021-11","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8055","","","","0"
"2021-12","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6417","","","","0"
"2022-01","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8217","","","","0"
"2022-02","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7924","","","","0"
"2022-03","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10100","","","","0"
"2022-04","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","11032","","","","0"
"2022-05","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9525","","","","0"
"2022-06","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10255","","","","0"
"2022-07","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8356","","","","0"
"2022-08","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8737","","","","0"
"2022-09","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6790","","","","0"
"2022-10","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6745","","","","0"
"2022-11","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7613","","","","0"
"2022-12","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","5828","","","","0"
"2023-01","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6522","","","","0"
"2023-02","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","6104","","","","0"
"2023-03","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8630","","","","0"
"2023-04","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8511","","","","0"
"2023-05","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","9849","","","","0"
"2023-06","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10420","","","","0"
"2023-07","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8887","","","","0"
"2023-08","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10240","","","","0"
"2023-09","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","10151","","","","0"
"2023-10","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8097","","","","0"
"2023-11","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7775","","","","0"
"2023-12","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8187","","","","0"
"2024-01","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7081","","","","0"
"2024-02","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","7325","","","","0"
"2024-03","Canada","2021A000011124","Passenger cars","All fuel types","Total, overseas","Units","Unadjusted","Units","300","units","0","v1617815521","1.2.1.3.1.1","8911","","","","0"
